Epoch,D_Loss,G_Loss,R_Loss,D_Real_Accuracy,D_Fake_Accuracy
1,0.20470874089943736,0.21084615901896828,0.05496674874111226,0.10526315789473684,0.10526315789473684
2,0.20247742298402285,0.13878556497787176,0.030847079365661268,0.0,0.0
3,0.20365984737873077,0.1395741991306606,0.023701294570376997,0.05263157894736842,0.05263157894736842
4,0.20246222850523496,0.13892034009883278,0.01403252667698421,0.0,0.0
5,0.20233197980805448,0.13937311619520187,0.005444275864743088,0.05263157894736842,0.05263157894736842
6,0.20239298986761192,0.13679376244544983,0.0020831259439307217,0.16611842105263158,0.15789473684210525
7,0.2226464944450479,0.13432223153741737,0.001298573710588052,0.4276315789473684,0.2582236842105263
8,0.1595655832635729,0.13561668168557317,0.001040562604382438,0.6339285750138132,0.15296052631578946
9,0.07818339098440974,0.13683880630292392,0.0008508726877105227,0.8550281963850322,0.14967105263157895
10,0.07232098389220865,0.13007699894277672,0.0006834016921378574,0.8679511296121698,0.12006578947368421
11,0.07464228276359408,0.1261014201139149,0.0006004428854028351,0.8937969960664448,0.17951127886772156
12,0.08057806366368343,0.12227915697976162,0.000508560593037768,0.8994360911218744,0.1945488735249168
13,0.08566778741384808,0.13878870363298215,0.0004226907262100691,0.9292763157894737,0.2312030078549134
14,0.06522238048675813,0.13393902308062502,0.00037485485211762254,0.9243421052631579,0.13251879732859762
15,0.08797075226902962,0.10876306420878361,0.000328078179001367,0.9457236842105263,0.23214285781508998
16,0.11980216048265759,0.10048079725943114,0.00028692733375416875,0.8618421052631579,0.3193139104466689
17,0.1092419185136494,0.09700212196299904,0.0004598229610756358,0.875,0.27326127886772156
18,0.10689645103718105,0.0916477708440078,0.000261849864680124,0.8782894736842105,0.26245300785491343
19,0.11093409849624884,0.09355154790376362,0.00021217125533056738,0.8421052631578947,0.22391917360456368
20,0.07922924133507829,0.09083173306364763,0.00018897766820277626,0.9332706802769711,0.21052631578947367
21,0.08932061571823924,0.08924982696771622,0.00017628523394370475,0.9118891013296027,0.2361372183812292
22,0.08955399790092518,0.08689784964448527,0.00017014873255424105,0.8980263157894737,0.23049812097298472
23,0.08726867915768373,0.08789194061567909,0.00016263622896267886,0.8905075223822343,0.1966635341707029
24,0.08720344520713154,0.08590811647866901,0.0002009662519795759,0.899671052631579,0.21170112961216977
25,0.0887476754815955,0.08603622960416894,0.00014287947124103084,0.9013157894736842,0.20676691908585398
26,0.09048808209205929,0.08620725376041312,0.00013437955165404434,0.8905075223822343,0.21475563943386078
27,0.08971816320952616,0.0847597933913532,0.000124727029766578,0.8717105263157895,0.1917293236443871
28,0.08751228098806582,0.0867943422574746,0.0001277127230902184,0.8914473684210527,0.19924812097298472
29,0.09386820816680004,0.08431732654571533,0.00012050328883847932,0.8980263157894737,0.2312030078549134
30,0.08855472916835233,0.0844908376273356,0.00023225047411152015,0.8724154171190763,0.19407894736842105
31,0.0975028305853668,0.08544744080618809,0.00013349098375520522,0.8526785750138132,0.20559210526315788
32,0.10134348508558776,0.08456769075832869,0.00011003555511323564,0.8954417329085501,0.27326127886772156
33,0.09604399082692046,0.08379729484256945,0.00010233369099104923,0.9046052631578947,0.2229793236443871
34,0.10510653884787309,0.08483143229233592,0.00010378485239925794,0.8484492490166112,0.23707706834140577
35,0.11453758415422942,0.0850844175407761,9.354282280439388e-05,0.8230733118559185,0.26104323487532766
36,0.12289355734461233,0.08271866566256474,9.589144457621794e-05,0.7880639104466689,0.2666823314993005
37,0.12336444756702374,0.0839781674899553,9.386683211088989e-05,0.7974624069113481,0.27443609112187434
38,0.1378399772863639,0.08393570663113344,9.34678264457034e-05,0.7786654171190763,0.3014567682617589
39,0.13329296715949712,0.08323385566473007,9.287652842191931e-05,0.7737312065927606,0.2807800769805908
40,0.1594764198127546,0.08083550161436985,8.367487125245756e-05,0.7333176700692428,0.35244361036702204
41,0.16570350527763367,0.08182015779771303,9.146015173954718e-05,0.6731672945775484,0.32166353417070287
42,0.1670637436603245,0.08203453649031489,7.800532507405335e-05,0.6682330840512326,0.31437969992035314
43,0.17660162205758848,0.082349205095517,7.589243499464111e-05,0.6757518805955586,0.3449248138226961
44,0.18686035981303767,0.08093308480946641,9.763856743168282e-05,0.6355733118559185,0.35150376119111715
45,0.18569281932554746,0.08147601508780529,7.559559033229322e-05,0.5982142875069066,0.32753759465719523
46,0.22388479505714617,0.08012089525398455,7.065275512056695e-05,0.5209116559279593,0.3663063927700645
47,0.23500025978213862,0.07954903574366319,7.157690781337136e-05,0.49459586645427506,0.3999060157098268
48,0.24888958036899567,0.07978334552363346,6.693118949011765e-05,0.4370300769805908,0.3604323314993005
49,0.2548941820859909,0.08091426366253902,7.099336964625093e-05,0.41494361036702204,0.35878759465719523
50,0.2710717414554797,0.07952936189739328,6.82657200262551e-05,0.40859962764539215,0.3968515051038642
51,0.2828487871508849,0.08139176274600782,6.421327792562998e-05,0.32354323487532766,0.36701127886772156
52,0.2929810567906028,0.07969971491318,5.845650503033539e-05,0.30028195522333445,0.33928571563017995
53,0.3022213609595048,0.08069430370079844,8.247296945659113e-05,0.28383458680228185,0.3531484980332224
54,0.28574404747862564,0.07975105039383236,6.846702942646899e-05,0.3284774454016435,0.36466165592795924
55,0.3031175324791356,0.0792459025979042,5.5228212180449385e-05,0.29558270855953817,0.3449248138226961
