d_weight,l3_weight,final_d1,final_r,final_l,error,prediction_mass
0.0,0.0,0.49943074584007263,0.5567362308502197,0.5408857464790344,0.012799592688679695,0.4345117509365082
0.0,0.1,0.4991828501224518,0.5557102560997009,0.5391867756843567,0.012934203259646893,0.43287959694862366
0.0,0.2,0.49908533692359924,0.5559197068214417,0.5305164456367493,0.014563929289579391,0.4280150234699249
0.0,0.30000000000000004,0.49883580207824707,0.5554189682006836,0.519572913646698,0.017381666228175163,0.42142871022224426
0.0,0.4,0.49884992837905884,0.5560243129730225,0.5095009803771973,0.021270517259836197,0.41611945629119873
0.0,0.5,0.49921759963035583,0.5556918382644653,0.49215272068977356,0.027523377910256386,0.40659740567207336
0.0,0.6000000000000001,0.498588889837265,0.5548450946807861,0.4735923707485199,0.03537894785404205,0.39582008123397827
0.0,0.7000000000000001,0.49905312061309814,0.5564231276512146,0.44487977027893066,0.050058379769325256,0.38151484727859497
0.0,0.8,0.49936988949775696,0.5565005540847778,0.4148923456668854,0.06668563187122345,0.36621296405792236
0.0,0.9,0.49905532598495483,0.55546635389328,0.3905116319656372,0.08012549579143524,0.35301101207733154
0.0,1.0,0.4989496171474457,0.5560390949249268,0.3578042984008789,0.10006546229124069,0.3363495469093323
0.1,0.0,0.5017271041870117,0.5580046772956848,0.5438381433486938,0.013254224322736263,0.4379415512084961
0.1,0.1,0.501410722732544,0.5582526922225952,0.5357019305229187,0.014338566921651363,0.4332498610019684
0.1,0.2,0.5020537972450256,0.5585978031158447,0.5302847027778625,0.0157721359282732,0.4306497275829315
0.1,0.30000000000000004,0.5013420581817627,0.5584774613380432,0.5190000534057617,0.0185299813747406,0.42382535338401794
0.1,0.4,0.5016297101974487,0.5587894320487976,0.5061579346656799,0.02340409904718399,0.4169330596923828
0.1,0.5,0.5015906095504761,0.5582970380783081,0.49526655673980713,0.027573319151997566,0.4106196463108063
0.1,0.6000000000000001,0.5017827153205872,0.5588260889053345,0.4677918255329132,0.0399741567671299,0.3960602879524231
0.1,0.7000000000000001,0.5016437768936157,0.5584229230880737,0.4530402421951294,0.047079019248485565,0.38786372542381287
0.1,0.8,0.5015255808830261,0.5583809018135071,0.428295373916626,0.05999165028333664,0.37475818395614624
0.1,0.9,0.5012081265449524,0.5577000975608826,0.39247921109199524,0.08034072816371918,0.3559100925922394
0.1,1.0,0.5009417533874512,0.5576947927474976,0.3595868647098541,0.10006140917539597,0.33883723616600037
0.2,0.0,0.5051296949386597,0.5621150135993958,0.5427497625350952,0.01507896650582552,0.44115185737609863
0.2,0.1,0.5046349167823792,0.5612790584564209,0.5370898842811584,0.01612914726138115,0.4371795356273651
0.2,0.2,0.5051566958427429,0.5618559718132019,0.5317476391792297,0.016840340569615364,0.43466877937316895
0.2,0.30000000000000004,0.5057520270347595,0.5627283453941345,0.5220208764076233,0.019993813708424568,0.4298042058944702
0.2,0.4,0.5054123997688293,0.5627899169921875,0.5051807165145874,0.02555052563548088,0.42012885212898254
0.2,0.5,0.5053343176841736,0.5622050762176514,0.4959743916988373,0.029206523671746254,0.41466769576072693
0.2,0.6000000000000001,0.5045522451400757,0.5615906119346619,0.4790671169757843,0.03603915125131607,0.4046069383621216
0.2,0.7000000000000001,0.505342960357666,0.5623878836631775,0.45069220662117004,0.05041173845529556,0.39012381434440613
0.2,0.8,0.5047506093978882,0.5616816878318787,0.4381428062915802,0.05663987994194031,0.3828033208847046
0.2,0.9,0.5051760077476501,0.5616289973258972,0.3938440978527069,0.08176492899656296,0.35997694730758667
0.2,1.0,0.5037835240364075,0.5609392523765564,0.36273831129074097,0.10009456425905228,0.34302493929862976
0.30000000000000004,0.0,0.5085068941116333,0.5652706623077393,0.5443052053451538,0.016092879697680473,0.4453476071357727
0.30000000000000004,0.1,0.5107487440109253,0.5673190355300903,0.5390604734420776,0.018147803843021393,0.4444536566734314
0.30000000000000004,0.2,0.5105369687080383,0.5672624707221985,0.5309992432594299,0.020342305302619934,0.43957626819610596
0.30000000000000004,0.30000000000000004,0.5111678242683411,0.5681430697441101,0.5231240391731262,0.022532055154442787,0.43581438064575195
0.30000000000000004,0.4,0.5105093717575073,0.5675745606422424,0.511847972869873,0.02574043907225132,0.4287031590938568
0.30000000000000004,0.5,0.509679913520813,0.5669146776199341,0.49380043148994446,0.032514411956071854,0.41774147748947144
0.30000000000000004,0.6000000000000001,0.5107536315917969,0.5668773651123047,0.4896891117095947,0.03491373360157013,0.4159557819366455
0.30000000000000004,0.7000000000000001,0.510940432548523,0.5675396919250488,0.45450788736343384,0.051642321050167084,0.3970135748386383
0.30000000000000004,0.8,0.5109052658081055,0.5673080086708069,0.4270820915699005,0.0661432221531868,0.3822619318962097
0.30000000000000004,0.9,0.5091949701309204,0.5653781294822693,0.40328216552734375,0.07847242802381516,0.36817944049835205
0.30000000000000004,1.0,0.5088050365447998,0.5651600360870361,0.36717426776885986,0.1000499278306961,0.34922873973846436
0.4,0.0,0.5154251456260681,0.5723165273666382,0.5447295308113098,0.018260907381772995,0.4527058005332947
0.4,0.1,0.5160876512527466,0.5733538269996643,0.540013313293457,0.019508641213178635,0.45078495144844055
0.4,0.2,0.515232264995575,0.5715293288230896,0.536457896232605,0.019880684092640877,0.4473450481891632
0.4,0.30000000000000004,0.5168313384056091,0.573097825050354,0.5271885991096497,0.023343408480286598,0.4434671401977539
0.4,0.4,0.5190766453742981,0.5757333636283875,0.5157407522201538,0.028952086344361305,0.4391712546348572
0.4,0.5,0.5173561573028564,0.5738585591316223,0.5057109594345093,0.03140275925397873,0.431610107421875
0.4,0.6000000000000001,0.5184145569801331,0.575100839138031,0.4884113073348999,0.03945673629641533,0.4227883517742157
0.4,0.7000000000000001,0.5184188485145569,0.5750261545181274,0.46210649609565735,0.05191206932067871,0.4079545736312866
0.4,0.8,0.5187880992889404,0.5758877992630005,0.4243546724319458,0.07245050370693207,0.387965589761734
