d0,d1,d2,d3,d4,l1,d0/l1,d1/l1,d2/l1,d3/l1,d4/l1,slopes,mass
4.7,2.6,1.1,1.6,2.9,22.5,0.208888889,0.115555556,0.048888889,0.071111111,0.128888889,0.041741687,0.001733983
4.6,2.2,1.6,1.2,2.8,22.9,0.200873362,0.096069869,0.069868996,0.052401747,0.122270742,0.039522819,0.001660921
4.7,2.7,1.4,2.3,1.8,24.9,0.18875502,0.108433735,0.0562249,0.092369478,0.072289157,0.036761198,0.001915244
3.4,2.3,1.6,1.3,1.1,19.2,0.177083333,0.119791667,0.083333333,0.067708333,0.057291667,0.034583358,0.000815295
4.9,2.3,1.5,2.8,2.5,17.2,0.284883721,0.13372093,0.087209302,0.162790698,0.145348837,0.062704583,0.001363423
3.1,2.9,2.2,1.1,2.1,24.6,0.12601626,0.117886179,0.089430894,0.044715447,0.085365854,0.026156482,0.001233307
4.2,1.8,1.3,2.7,1.8,20.1,0.208955224,0.089552239,0.064676617,0.134328358,0.089552239,0.041918444,0.001243794
3.2,1.5,2.7,1.8,2.7,18.1,0.17679558,0.082872928,0.149171271,0.099447514,0.149171271,0.040032868,0.000915781
3.1,1.1,1.9,1.2,2.1,24.7,0.125506073,0.044534413,0.076923077,0.048582996,0.085020243,0.023787375,0.000968654
4.9,1.3,2.4,2.5,2.9,15.4,0.318181818,0.084415584,0.155844156,0.162337662,0.188311688,0.073373717,0.001189271
4.2,2.2,1.7,2.5,2.3,23.6,0.177966102,0.093220339,0.072033898,0.105932203,0.097457627,0.036092848,0.001613721
4.4,1.5,2.1,1.8,1.5,16.1,0.273291925,0.093167702,0.130434783,0.111801242,0.093167702,0.056606157,0.000947384
3.8,1.5,2.6,2.7,2.1,19.5,0.194871795,0.076923077,0.133333333,0.138461538,0.107692308,0.04235461,0.001191421
3.5,1.5,2.8,2.8,1.1,19,0.184210526,0.078947368,0.147368421,0.147368421,0.057894737,0.039835881,0.001032005
3.8,1.8,2.4,1.9,2.5,16.8,0.226190476,0.107142857,0.142857143,0.113095238,0.148809524,0.050202628,0.000959088
3.7,2.1,2.7,1.7,2.8,21.8,0.169724771,0.096330275,0.123853211,0.077981651,0.128440367,0.036616581,0.001368646
4.8,1.6,1.8,2.8,2.8,15.1,0.317880795,0.105960265,0.119205298,0.185430464,0.185430464,0.073717985,0.001123163
3.7,1.9,1.7,2.9,2.8,20.9,0.177033493,0.090909091,0.081339713,0.138755981,0.133971292,0.038549317,0.001310234
4.3,2.1,1.5,1.9,1.7,22.7,0.189427313,0.092511013,0.066079295,0.083700441,0.074889868,0.036733413,0.00141225
3.3,1.5,2.8,2.7,1.3,22.1,0.149321267,0.067873303,0.126696833,0.122171946,0.058823529,0.031692122,0.001162174
